Student_ID,Student Full Name,Class,Section,Gender,Telugu,Hindi,English,Maths,Science,Social,Total_Marks,Percentage,Status (Pass/Fail)
STU0024,Anitha Prasad,9,B,Female,24,71,85,27,21,98,326,54.33,Fail
STU0025,Srinivas Chand,7,D,Male,77,76,42,66,22,36,319,53.17,Fail
STU0026,Priya Singh,8,D,Female,51,69,86,99,77,34,416,69.33,Fail
STU0027,Prasad Varma,6,A,Male,55,22,21,89,76,79,342,57.0,Fail
STU0028,Venkat Shetty,6,B,Male,23,91,23,45,66,30,278,46.33,Fail
STU0029,Deepak Nair,6,A,Male,68,99,89,87,81,55,479,79.83,Pass
STU0030,Sravani Murthy,7,C,Female,65,31,100,97,53,73,419,69.83,Fail
STU0031,Deepika Sharma,6,D,Female,94,87,27,24,83,42,357,59.5,Fail
STU0032,Lakshmi Patel,6,B,Female,62,51,35,71,84,53,356,59.33,Pass
STU0033,Varun Das,8,A,Male,32,48,29,28,85,34,256,42.67,Fail
STU0034,Sirisha Nair,7,C,Female,41,96,48,79,77,47,388,64.67,Pass
STU0035,Srinivas Chowdary,8,A,Male,15,57,31,96,48,35,282,47.0,Fail
STU0036,Sahithi Chowdary,10,A,Female,29,24,34,84,19,62,252,42.0,Fail
STU0037,Sanjay Rao,6,C,Male,61,20,60,41,46,100,328,54.67,Fail
STU0038,Rajesh Das,9,B,Male,45,35,37,67,18,37,239,39.83,Fail
STU0039,Pooja Chowdary,7,C,Female,35,28,63,19,75,43,263,43.83,Fail
STU0040,Nikhil Goud,8,C,Male,44,43,18,99,39,66,309,51.5,Fail
STU0041,Bhavani Sharma,8,C,Female,97,80,66,83,57,18,401,66.83,Fail
STU0042,Krishna Prasad,7,C,Male,19,28,91,70,59,55,322,53.67,Fail
STU0043,Lavanya Shetty,6,D,Female,88,39,47,20,70,15,279,46.5,Fail
STU0044,Rajesh Chowdary,6,C,Male,94,55,99,30,53,79,410,68.33,Fail
STU0045,Pranavi Chowdary,8,D,Female,52,85,31,39,68,100,375,62.5,Fail
STU0046,Pranavi Gupta,10,C,Female,66,85,15,53,51,41,311,51.83,Fail
STU0047,Pooja Iyer,10,C,Female,74,71,71,42,80,75,413,68.83,Pass
STU0048,Varun Sharma,8,C,Male,26,45,54,43,40,33,241,40.17,Fail
STU0049,Venkat Chand,9,A,Male,73,68,95,88,39,64,427,71.17,Pass
STU0050,Revathi Chand,7,A,Female,28,69,43,37,81,74,332,55.33,Fail
STU0051,Naresh Chand,6,D,Male,32,74,100,82,86,91,465,77.5,Fail
STU0052,Sneha Goud,10,D,Female,85,72,35,75,72,48,387,64.5,Pass
STU0053,Nikhil Prasad,10,D,Male,95,45,50,71,24,51,336,56.0,Fail
STU0054,Ganesh Murthy,8,A,Male,32,34,44,64,34,42,250,41.67,Fail
STU0055,Sanjay Chowdary,8,D,Male,68,22,41,68,64,89,352,58.67,Fail
STU0056,Sai Iyer,9,D,Male,15,60,53,64,68,83,343,57.17,Fail
STU0057,Ajay Chand,8,D,Male,77,18,64,58,100,66,383,63.83,Fail
STU0058,Nikhil Goud,7,A,Male,65,90,87,99,18,25,384,64.0,Fail
STU0059,Lakshmi Goud,7,A,Female,48,63,56,42,73,56,338,56.33,Pass
STU0060,Sneha Singh,8,D,Female,47,25,75,17,84,21,269,44.83,Fail
STU0061,Mounika Sharma,6,A,Female,46,40,17,94,34,45,276,46.0,Fail
STU0062,Ajay Kumar,10,B,Male,74,47,62,36,92,92,403,67.17,Pass
STU0063,Pavan Gupta,8,A,Male,89,18,54,88,63,65,377,62.83,Fail
STU0064,Srinivas Iyer,7,A,Male,53,91,30,87,20,59,340,56.67,Fail
STU0065,Pranavi Patel,6,C,Female,16,68,77,28,70,61,320,53.33,Fail
STU0066,Hasini Rao,9,B,Female,81,98,49,93,83,76,480,80.0,Pass
STU0067,Jyothi Iyer,8,C,Female,46,26,50,72,46,74,314,52.33,Fail
STU0068,Kavitha Reddy,9,C,Female,38,77,42,60,48,58,323,53.83,Pass
STU0069,Nandini Nair,8,A,Female,81,39,25,45,67,77,334,55.67,Fail
STU0070,Tarun Raju,9,D,Male,17,26,52,43,66,46,250,41.67,Fail
STU0071,Pranavi Iyer,8,D,Female,85,82,59,69,85,57,437,72.83,Pass
STU0072,Hasini Goud,8,C,Female,47,44,30,39,55,30,245,40.83,Fail
STU0073,Suresh Varma,9,C,Male,90,82,91,51,27,39,380,63.33,Fail
STU0074,Mounika Patel,7,C,Female,16,83,31,50,20,21,221,36.83,Fail
STU0075,Hasini Rao,9,A,Female,16,88,51,75,76,71,377,62.83,Fail
STU0076,Anitha Naidu,8,D,Female,29,23,66,77,24,88,307,51.17,Fail
STU0077,Kiran Rao,10,C,Male,25,46,30,86,68,92,347,57.83,Fail
STU0078,Pavan Shetty,9,D,Male,71,53,90,69,54,87,424,70.67,Pass
STU0079,Manoj Kumar,7,B,Male,48,99,25,35,45,37,289,48.17,Fail
STU0080,Ravi Reddy,9,D,Male,91,75,52,19,44,51,332,55.33,Fail
STU0081,Hasini Goud,6,B,Female,48,95,90,99,40,69,441,73.5,Pass
STU0082,Naresh Chand,7,C,Male,33,24,22,36,54,91,260,43.33,Fail
STU0083,Sunitha Kumar,9,C,Female,66,49,79,84,78,71,427,71.17,Pass
STU0084,Manoj Naidu,9,C,Male,92,47,18,26,44,88,315,52.5,Fail
STU0085,Pavan Prasad,10,A,Male,37,75,81,98,71,50,412,68.67,Pass
STU0086,Deepak Chowdary,9,A,Male,75,59,67,57,56,100,414,69.0,Pass
STU0087,Sai Gupta,8,D,Male,78,51,99,66,85,19,398,66.33,Fail
STU0088,Divya Murthy,8,C,Female,29,66,80,15,99,84,373,62.17,Fail
STU0089,Jyothi Naidu,7,C,Female,94,78,95,71,21,41,400,66.67,Fail
STU0090,Sahithi Rao,8,D,Female,77,30,18,95,92,45,357,59.5,Fail
STU0091,Prasad Das,6,D,Male,26,43,29,74,30,97,299,49.83,Fail
STU0092,Ajay Babu,10,C,Male,68,76,75,46,73,85,423,70.5,Pass
STU0093,Vijay Varma,10,B,Male,23,50,68,58,79,49,327,54.5,Fail
STU0094,Prasad Babu,10,D,Male,34,72,83,76,59,57,381,63.5,Fail
STU0095,Sunitha Murthy,7,B,Female,88,64,44,67,20,55,338,56.33,Fail
STU0096,Hasini Singh,9,B,Female,78,19,31,79,90,57,354,59.0,Fail
STU0097,Sai Goud,6,D,Male,16,33,67,98,34,24,272,45.33,Fail
STU0098,Pooja Prasad,8,D,Female,98,25,57,83,63,55,381,63.5,Fail
STU0099,Sanjana Das,6,A,Female,45,95,51,44,26,70,331,55.17,Fail
STU0100,Pavan Kumar,9,B,Male,53,18,20,56,22,52,221,36.83,Fail
STU0101,Madhavi Chowdary,7,B,Female,82,67,87,38,36,37,347,57.83,Pass
STU0102,Manoj Singh,10,B,Male,78,89,33,44,74,96,414,69.0,Fail
STU0103,Sunitha Prasad,6,D,Female,51,84,35,24,71,59,324,54.0,Fail
STU0104,Meghana Chowdary,8,D,Female,53,40,64,76,28,45,306,51.0,Fail
STU0105,Tejaswi Patel,10,C,Female,52,17,99,65,50,16,299,49.83,Fail
STU0106,Vamsi Nair,9,C,Male,44,92,60,43,96,39,374,62.33,Pass
STU0107,Pranavi Rao,6,A,Female,54,71,19,89,61,31,325,54.17,Fail
STU0108,Vamsi Babu,8,D,Male,37,40,31,84,61,82,335,55.83,Fail
STU0109,Rithika Gupta,8,D,Female,52,58,29,74,24,33,270,45.0,Fail
STU0110,Sai Singh,10,C,Male,26,65,16,48,83,30,268,44.67,Fail
STU0111,Madhavi Prasad,10,D,Female,96,62,28,44,75,18,323,53.83,Fail
STU0112,Deepika Nair,7,A,Female,96,74,53,98,67,29,417,69.5,Fail
STU0113,Venkat Naidu,8,D,Male,29,27,45,83,32,64,280,46.67,Fail
STU0114,Madhavi Das,9,B,Female,68,98,27,77,93,67,430,71.67,Fail
STU0115,Swathi Patel,7,D,Female,71,45,61,27,62,84,350,58.33,Fail
STU0116,Swathi Singh,8,B,Female,30,73,26,99,42,97,367,61.17,Fail
STU0117,Venkat Murthy,7,B,Male,87,41,23,85,41,90,367,61.17,Fail
STU0118,Nikhil Chand,8,B,Male,91,15,50,33,31,84,304,50.67,Fail
STU0119,Pooja Gupta,6,A,Female,31,16,60,45,90,56,298,49.67,Fail
STU0120,Ravi Prasad,6,B,Male,68,82,29,23,75,72,349,58.17,Fail
STU0121,Manasa Iyer,6,D,Female,79,43,93,20,99,81,415,69.17,Fail
STU0122,Sunitha Reddy,6,D,Female,66,69,28,77,71,24,335,55.83,Fail
STU0123,Harish Nair,7,A,Male,31,50,94,96,89,85,445,74.17,Fail
STU0124,Revathi Nair,10,C,Female,73,79,92,70,27,29,370,61.67,Fail
STU0125,Sanjay Goud,7,D,Male,58,73,66,68,27,55,347,57.83,Fail
STU0126,Kavitha Prasad,8,B,Female,75,23,26,25,26,70,245,40.83,Fail
STU0127,Charan Patel,7,A,Male,90,86,86,57,100,30,449,74.83,Fail
STU0128,Madhavi Chowdary,6,C,Female,91,54,60,28,88,79,400,66.67,Fail
STU0129,Kiran Raju,7,A,Male,59,86,62,29,50,88,374,62.33,Fail
STU0130,Rohit Chowdary,10,A,Male,92,99,49,18,38,49,345,57.5,Fail
STU0131,Deepika Murthy,8,A,Female,38,33,87,99,66,23,346,57.67,Fail
STU0132,Charan Reddy,6,B,Male,63,68,73,58,35,62,359,59.83,Pass
STU0133,Vaishali Murthy,10,A,Female,21,34,35,94,21,25,230,38.33,Fail
STU0134,Sunitha Chowdary,9,D,Female,68,49,42,80,29,59,327,54.5,Fail
STU0135,Keerthi Babu,10,D,Female,82,100,54,20,43,65,364,60.67,Fail
STU0136,Rahul Varma,8,B,Male,32,47,52,56,30,15,232,38.67,Fail
STU0137,Vaishali Chowdary,7,B,Female,63,83,44,79,86,100,455,75.83,Pass
STU0138,Divya Singh,6,D,Female,17,73,24,55,88,69,326,54.33,Fail
STU0139,Hasini Chowdary,8,A,Female,66,17,56,36,94,73,342,57.0,Fail
STU0140,Divya Chowdary,6,B,Female,70,90,66,82,25,65,398,66.33,Fail
STU0141,Vaishali Murthy,7,C,Female,36,24,80,96,29,82,347,57.83,Fail
STU0142,Krishna Patel,8,B,Male,45,28,33,47,40,37,230,38.33,Fail
STU0143,Pavan Sharma,7,D,Male,74,87,89,72,87,97,506,84.33,Pass
STU0144,Sanjana Murthy,7,D,Female,23,75,71,95,53,50,367,61.17,Fail
STU0145,Rajesh Shetty,6,C,Male,74,72,19,22,62,51,300,50.0,Fail
STU0146,Arjun Sharma,10,D,Male,74,89,85,20,72,88,428,71.33,Fail
STU0147,Harish Nair,9,B,Male,22,72,28,58,25,79,284,47.33,Fail
STU0148,Venkat Chand,9,D,Male,82,81,93,35,61,62,414,69.0,Pass
STU0149,Revathi Chowdary,8,A,Female,95,97,57,23,57,27,356,59.33,Fail
STU0150,Sirisha Prasad,10,B,Female,57,25,89,99,33,59,362,60.33,Fail
STU0151,Meghana Singh,7,A,Female,54,86,63,97,57,31,388,64.67,Fail
STU0152,Arjun Chowdary,10,C,Male,17,61,54,38,42,58,270,45.0,Fail
STU0153,Sravani Chand,7,B,Female,24,52,27,79,84,82,348,58.0,Fail
STU0154,Varun Murthy,10,B,Male,91,63,34,35,38,94,355,59.17,Fail
STU0155,Charan Goud,6,D,Male,61,45,71,93,51,72,393,65.5,Pass
STU0156,Naresh Chand,8,D,Male,39,62,88,71,74,51,385,64.17,Pass
STU0157,Manasa Shetty,9,B,Female,40,92,32,47,21,97,329,54.83,Fail
STU0158,Sanjana Patel,10,A,Female,81,30,51,25,35,49,271,45.17,Fail
STU0159,Nandini Shetty,7,D,Female,26,43,72,59,18,68,286,47.67,Fail
STU0160,Vijay Shetty,8,B,Male,64,25,62,43,18,55,267,44.5,Fail
STU0161,Nikhil Murthy,7,B,Male,19,51,75,32,75,72,324,54.0,Fail
STU0162,Krishna Sharma,6,C,Male,42,34,85,92,82,69,404,67.33,Fail
STU0163,Pavan Babu,7,C,Male,30,21,45,68,96,94,354,59.0,Fail
STU0164,Divya Kumar,9,A,Female,95,80,88,45,33,52,393,65.5,Fail
STU0165,Priya Nair,8,B,Female,88,68,38,100,100,25,419,69.83,Fail
STU0166,Divya Shetty,10,A,Female,64,75,20,96,64,62,381,63.5,Fail
STU0167,Vaishali Reddy,8,A,Female,59,45,99,95,28,89,415,69.17,Fail
STU0168,Lakshmi Naidu,8,C,Female,97,37,74,76,95,38,417,69.5,Pass
STU0169,Srinivas Goud,6,C,Male,40,20,40,20,55,54,229,38.17,Fail
STU0170,Rithika Das,9,C,Female,19,97,39,51,60,21,287,47.83,Fail
STU0171,Bhavani Kumar,8,D,Female,66,71,64,58,38,78,375,62.5,Pass
STU0172,Madhavi Shetty,8,A,Female,69,25,70,92,38,84,378,63.0,Fail
STU0173,Kavitha Kumar,6,C,Female,99,52,54,72,92,69,438,73.0,Pass
STU0174,Tarun Goud,8,D,Male,20,60,93,70,50,96,389,64.83,Fail
STU0175,Srinivas Singh,8,B,Male,18,33,92,71,19,31,264,44.0,Fail
STU0176,Mahesh Patel,8,D,Male,87,19,92,34,72,62,366,61.0,Fail
STU0177,Sunitha Sharma,10,B,Female,82,61,65,55,98,50,411,68.5,Pass
STU0178,Arun Reddy,7,D,Male,81,64,86,30,48,48,357,59.5,Fail
STU0179,Sravani Nair,8,D,Female,40,30,32,24,72,37,235,39.17,Fail
STU0180,Divya Murthy,8,A,Female,85,84,52,53,35,96,405,67.5,Pass
STU0181,Rohit Patel,10,B,Male,30,40,32,45,78,18,243,40.5,Fail
STU0182,Sahithi Iyer,8,D,Female,85,31,93,26,23,54,312,52.0,Fail
STU0183,Hasini Raju,10,D,Female,67,88,24,31,55,97,362,60.33,Fail
STU0184,Naveen Goud,10,C,Male,31,85,96,90,38,31,371,61.83,Fail
STU0185,Manasa Naidu,6,B,Female,53,36,35,56,43,59,282,47.0,Pass
STU0186,Sanjana Sharma,8,B,Female,96,85,50,31,95,53,410,68.33,Fail
STU0187,Ramesh Gupta,10,B,Male,36,99,94,92,58,87,466,77.67,Pass
STU0188,Nikhil Reddy,6,A,Male,97,88,48,98,41,88,460,76.67,Pass
STU0189,Lavanya Reddy,9,C,Female,97,53,76,46,66,53,391,65.17,Pass
STU0190,Divya Naidu,7,D,Female,68,76,74,41,58,92,409,68.17,Pass
STU0191,Harish Murthy,8,D,Male,31,62,80,86,28,55,342,57.0,Fail
STU0192,Naveen Kumar,8,D,Male,46,33,27,21,52,64,243,40.5,Fail
STU0193,Mounika Gupta,8,C,Female,39,35,78,80,74,78,384,64.0,Pass
STU0194,Anusha Reddy,6,D,Female,79,73,45,42,89,60,388,64.67,Pass
STU0195,Venkat Babu,9,D,Male,51,83,16,28,70,32,280,46.67,Fail
STU0196,Vaishali Patel,9,C,Female,20,66,21,87,86,39,319,53.17,Fail
STU0197,Sahithi Babu,6,D,Female,79,72,85,50,94,93,473,78.83,Pass
STU0198,Kiran Kumar,9,C,Male,58,86,61,33,40,92,370,61.67,Fail
STU0199,Manasa Naidu,6,A,Female,32,57,75,81,73,34,352,58.67,Fail
STU0200,Harish Nair,8,B,Male,65,93,53,90,58,79,438,73.0,Pass
STU0201,Hasini Iyer,8,D,Female,17,62,57,29,68,89,322,53.67,Fail
STU0202,Pooja Reddy,10,D,Female,48,98,89,88,44,21,388,64.67,Fail
STU0203,Anitha Shetty,10,D,Female,33,46,19,88,29,39,254,42.33,Fail
STU0204,Naveen Murthy,9,B,Male,67,41,67,79,93,75,422,70.33,Pass
STU0205,Tarun Rao,10,B,Male,86,56,99,76,82,63,462,77.0,Pass
STU0206,Anitha Goud,10,C,Female,84,60,97,48,93,76,458,76.33,Pass
STU0207,Mahesh Prasad,10,C,Male,43,53,51,41,77,55,320,53.33,Pass
STU0208,Madhavi Das,8,C,Female,30,88,84,63,65,59,389,64.83,Fail
STU0209,Prasad Naidu,8,A,Male,59,71,98,47,76,42,393,65.5,Pass
STU0210,Nikhil Das,8,C,Male,32,28,93,90,45,46,334,55.67,Fail
STU0211,Varun Shetty,7,B,Male,21,27,67,57,75,27,274,45.67,Fail
STU0212,Rahul Das,7,D,Male,98,75,76,98,40,51,438,73.0,Pass
STU0213,Sirisha Naidu,6,B,Female,83,19,37,68,37,19,263,43.83,Fail
STU0214,Pooja Raju,7,C,Female,19,16,53,87,92,28,295,49.17,Fail
STU0215,Sirisha Goud,10,D,Female,32,79,74,49,39,29,302,50.33,Fail
STU0216,Anitha Goud,8,B,Female,16,58,52,87,39,37,289,48.17,Fail
STU0217,Rithika Chowdary,10,C,Female,26,66,100,27,38,32,289,48.17,Fail
STU0218,Kavitha Chand,6,C,Female,64,45,72,49,57,53,340,56.67,Pass
STU0219,Ganesh Patel,7,A,Male,100,30,74,54,35,66,359,59.83,Fail
STU0220,Hasini Kumar,8,C,Female,93,43,43,32,76,34,321,53.5,Fail
STU0221,Vaishali Nair,8,D,Female,85,75,83,100,42,46,431,71.83,Pass
STU0222,Ramesh Goud,10,C,Male,24,87,29,22,85,79,326,54.33,Fail
STU0223,Deepak Das,7,B,Male,56,81,71,29,41,89,367,61.17,Fail
STU0224,Divya Shetty,9,A,Female,73,31,80,68,73,87,412,68.67,Fail
STU0225,Naresh Goud,8,A,Male,65,47,15,42,89,24,282,47.0,Fail
STU0226,Sanjay Patel,6,A,Male,23,75,19,51,67,38,273,45.5,Fail
STU0227,Pavan Chowdary,8,D,Male,72,63,63,25,99,84,406,67.67,Fail
STU0228,Arjun Patel,6,B,Male,83,65,82,31,43,15,319,53.17,Fail
STU0229,Prasad Goud,10,D,Male,83,63,44,46,73,59,368,61.33,Pass
STU0230,Ganesh Varma,6,A,Male,99,68,93,17,45,41,363,60.5,Fail
STU0231,Arun Nair,6,D,Male,91,21,46,20,66,71,315,52.5,Fail
STU0232,Naresh Varma,6,B,Male,79,52,44,88,55,88,406,67.67,Pass
STU0233,Mounika Babu,7,B,Female,67,53,50,22,86,90,368,61.33,Fail
STU0234,Arjun Chowdary,10,D,Male,21,59,97,100,63,82,422,70.33,Fail
STU0235,Hasini Chowdary,9,B,Female,53,63,38,83,75,45,357,59.5,Pass
STU0236,Prasad Rao,9,A,Male,86,67,68,86,82,32,421,70.17,Fail
STU0237,Mounika Prasad,7,C,Female,97,25,72,62,26,83,365,60.83,Fail
STU0238,Venkat Prasad,9,A,Male,24,39,90,100,86,42,381,63.5,Fail
STU0239,Sravani Murthy,8,A,Female,42,39,30,76,46,92,325,54.17,Fail
STU0240,Vijay Chand,10,C,Male,51,63,74,83,98,60,429,71.5,Pass
STU0241,Bhavani Patel,10,D,Female,74,27,75,55,41,62,334,55.67,Fail
STU0242,Jyothi Naidu,10,B,Female,33,17,48,85,89,89,361,60.17,Fail
STU0243,Sirisha Rao,7,C,Female,44,63,87,46,78,85,403,67.17,Pass
STU0244,Bhavani Raju,9,D,Female,36,60,36,32,84,77,325,54.17,Fail
STU0245,Vamsi Das,6,A,Male,24,100,21,15,67,32,259,43.17,Fail
STU0246,Srinivas Rao,6,B,Male,79,73,62,22,94,96,426,71.0,Fail
STU0247,Pranavi Raju,6,A,Female,83,85,67,16,17,82,350,58.33,Fail
STU0248,Sahithi Babu,6,D,Female,37,28,27,82,34,45,253,42.17,Fail
STU0249,Manoj Shetty,8,C,Male,49,65,25,62,66,73,340,56.67,Fail
STU0250,Tarun Chand,8,A,Male,98,98,19,26,66,63,370,61.67,Fail
STU0251,Sahithi Raju,6,A,Female,36,25,78,70,97,57,363,60.5,Fail
STU0252,Krishna Shetty,6,B,Male,42,87,75,49,20,24,297,49.5,Fail
STU0253,Nandini Das,10,A,Female,37,55,17,41,90,33,273,45.5,Fail
STU0254,Deepika Sharma,8,B,Female,87,45,87,64,84,57,424,70.67,Pass
STU0255,Sneha Rao,6,C,Female,21,27,70,44,24,58,244,40.67,Fail
STU0256,Sneha Murthy,6,C,Female,72,77,44,60,85,63,401,66.83,Pass
STU0257,Anitha Iyer,9,A,Female,94,52,46,24,25,49,290,48.33,Fail
STU0258,Vijay Rao,9,C,Male,61,28,26,15,54,71,255,42.5,Fail
STU0259,Sneha Prasad,6,B,Female,26,38,70,72,86,86,378,63.0,Fail
STU0260,Keerthi Reddy,6,C,Female,85,26,91,91,56,64,413,68.83,Fail
STU0261,Prasad Chowdary,9,A,Male,86,46,88,81,36,63,400,66.67,Pass
STU0262,Kiran Prasad,8,C,Male,78,33,23,36,70,50,290,48.33,Fail
STU0263,Sirisha Raju,6,C,Female,47,46,95,78,91,93,450,75.0,Pass
STU0264,Naveen Kumar,7,C,Male,15,65,57,94,63,57,351,58.5,Fail
STU0265,Kavitha Chowdary,10,B,Female,53,56,92,40,76,55,372,62.0,Pass
STU0266,Vijay Murthy,8,D,Male,88,46,56,63,50,65,368,61.33,Pass
STU0267,Keerthi Iyer,7,B,Female,85,18,74,41,71,52,341,56.83,Fail
STU0268,Nikhil Chowdary,9,B,Male,96,53,45,47,99,34,374,62.33,Fail
STU0269,Pooja Singh,6,D,Female,91,76,89,66,83,79,484,80.67,Pass
STU0270,Sahithi Naidu,8,A,Female,28,46,99,100,60,36,369,61.5,Fail
STU0271,Deepak Singh,8,D,Male,28,16,27,48,43,80,242,40.33,Fail
STU0272,Naveen Patel,9,D,Male,90,79,34,59,18,76,356,59.33,Fail
STU0273,Prasad Chowdary,6,A,Male,33,59,54,58,73,41,318,53.0,Fail
STU0274,Madhavi Raju,6,D,Female,72,55,23,53,20,29,252,42.0,Fail
STU0275,Sai Murthy,6,B,Male,46,81,37,85,35,57,341,56.83,Pass
STU0276,Sunitha Chand,9,B,Female,38,96,99,70,65,18,386,64.33,Fail
STU0277,Naveen Iyer,9,D,Male,15,42,41,50,23,88,259,43.17,Fail
STU0278,Rohit Das,7,C,Male,56,40,73,29,48,100,346,57.67,Fail
STU0279,Manasa Murthy,10,D,Female,93,65,90,29,59,60,396,66.0,Fail
STU0280,Lavanya Gupta,8,A,Female,32,55,30,45,54,29,245,40.83,Fail
STU0281,Rajesh Rao,10,D,Male,68,91,32,88,64,69,412,68.67,Fail
STU0282,Ajay Das,7,B,Male,77,51,32,38,55,72,325,54.17,Fail
STU0283,Sai Patel,6,D,Male,32,39,64,86,79,98,398,66.33,Fail
STU0284,Jyothi Raju,9,D,Female,77,36,25,87,18,43,286,47.67,Fail
STU0285,Swathi Prasad,7,C,Female,36,73,87,78,85,80,439,73.17,Pass
STU0286,Deepak Kumar,8,C,Male,84,20,71,84,42,69,370,61.67,Fail
STU0287,Charan Chand,8,A,Male,72,48,59,26,71,30,306,51.0,Fail
STU0288,Suresh Iyer,8,D,Male,36,93,32,41,41,22,265,44.17,Fail
STU0289,Sahithi Prasad,10,B,Female,56,52,52,88,49,80,377,62.83,Pass
STU0290,Kiran Chowdary,6,C,Male,98,31,31,46,33,56,295,49.17,Fail
STU0291,Pavan Singh,9,B,Male,88,95,49,95,68,63,458,76.33,Pass
STU0292,Divya Sharma,9,C,Female,62,73,77,56,89,15,372,62.0,Fail
STU0293,Charan Goud,8,A,Male,83,65,42,69,42,78,379,63.17,Pass
STU0294,Kavitha Babu,8,B,Female,87,77,58,21,20,27,290,48.33,Fail
STU0295,Priya Kumar,7,D,Female,73,15,69,40,31,98,326,54.33,Fail
STU0296,Anitha Prasad,6,C,Female,47,25,62,100,98,36,368,61.33,Fail
STU0297,Vijay Babu,7,D,Male,98,26,27,15,42,76,284,47.33,Fail
STU0298,Kiran Iyer,7,D,Male,16,16,58,30,69,31,220,36.67,Fail
STU0299,Divya Chand,9,A,Female,28,28,55,62,53,32,258,43.0,Fail
STU0300,Sneha Rao,7,A,Female,82,87,16,93,98,36,412,68.67,Fail
STU0301,Madhavi Varma,7,D,Female,93,71,42,26,27,32,291,48.5,Fail
STU0302,Deepak Singh,8,D,Male,55,32,46,50,97,25,305,50.83,Fail
STU0303,Naresh Nair,10,C,Male,18,99,53,41,81,92,384,64.0,Fail
STU0304,Charan Singh,8,A,Male,45,78,64,29,45,78,339,56.5,Fail
STU0305,Ramesh Reddy,8,C,Male,31,64,87,68,61,84,395,65.83,Fail
STU0306,Pavan Raju,6,A,Male,90,23,16,48,42,20,239,39.83,Fail
STU0307,Rohit Singh,10,C,Male,95,79,68,69,66,25,402,67.0,Fail
STU0308,Ganesh Sharma,8,A,Male,80,41,34,83,56,65,359,59.83,Fail
STU0309,Prasad Chowdary,7,A,Male,46,26,70,29,73,93,337,56.17,Fail
STU0310,Prasad Gupta,6,A,Male,32,16,35,78,59,81,301,50.17,Fail
STU0311,Anitha Patel,7,C,Female,30,18,57,69,49,82,305,50.83,Fail
STU0312,Ganesh Iyer,6,D,Male,73,80,61,22,78,87,401,66.83,Fail
STU0313,Rajesh Gupta,8,A,Male,88,29,44,80,15,20,276,46.0,Fail
STU0314,Mahesh Naidu,9,C,Male,64,34,37,19,85,98,337,56.17,Fail
STU0315,Mounika Murthy,7,D,Female,55,49,24,88,62,30,308,51.33,Fail
STU0316,Ravi Chand,10,A,Male,66,23,74,51,54,56,324,54.0,Fail
STU0317,Naresh Goud,6,C,Male,40,52,87,53,94,46,372,62.0,Pass
STU0318,Madhavi Iyer,9,B,Female,84,46,34,15,67,18,264,44.0,Fail
STU0319,Naresh Patel,6,C,Male,15,99,63,54,28,41,300,50.0,Fail
STU0320,Sanjay Raju,6,B,Male,50,26,20,44,81,67,288,48.0,Fail
STU0321,Sunitha Sharma,10,A,Female,79,32,96,65,24,90,386,64.33,Fail
STU0322,Sanjay Rao,7,C,Male,48,55,65,56,55,72,351,58.5,Pass
STU0323,Mounika Sharma,7,B,Female,89,28,34,28,36,72,287,47.83,Fail
